channel,video_id,fn,label,start_time,end_time,duration,pre_phone,post_phone,word,vowel,stress,diph,filename
ChannelofChi_UCLfwDGHe5jEZSSGtw3ifUiQ,ChannelofChi_UCLfwDGHe5jEZSSGtw3ifUiQ_avPFLbxQZOI,,EY1,9.5602,9.6802,0.11999999999999922,HH,G,hey,EY,1,1,ChannelofChi_UCLfwDGHe5jEZSSGtw3ifUiQ_avPFLbxQZOI.TextGrid
ChannelofChi_UCLfwDGHe5jEZSSGtw3ifUiQ,ChannelofChi_UCLfwDGHe5jEZSSGtw3ifUiQ_avPFLbxQZOI,,AY1,9.7102,9.8802,0.16999999999999993,G,Z,guys,AY,1,1,ChannelofChi_UCLfwDGHe5jEZSSGtw3ifUiQ_avPFLbxQZOI.TextGrid
ChannelofChi_UCLfwDGHe5jEZSSGtw3ifUiQ,ChannelofChi_UCLfwDGHe5jEZSSGtw3ifUiQ_avPFLbxQZOI,,AH1,9.9702,10.0102,0.03999999999999915,W,T,what's,AH,1,0,ChannelofChi_UCLfwDGHe5jEZSSGtw3ifUiQ_avPFLbxQZOI.TextGrid
ChannelofChi_UCLfwDGHe5jEZSSGtw3ifUiQ,ChannelofChi_UCLfwDGHe5jEZSSGtw3ifUiQ_avPFLbxQZOI,,AH1,10.1402,10.2402,0.09999999999999964,S,P,up,AH,1,0,ChannelofChi_UCLfwDGHe5jEZSSGtw3ifUiQ_avPFLbxQZOI.TextGrid
ChannelofChi_UCLfwDGHe5jEZSSGtw3ifUiQ,ChannelofChi_UCLfwDGHe5jEZSSGtw3ifUiQ_avPFLbxQZOI,,AY1,10.3202,10.4102,0.08999999999999986,M,N,my,AY,1,1,ChannelofChi_UCLfwDGHe5jEZSSGtw3ifUiQ_avPFLbxQZOI.TextGrid
ChannelofChi_UCLfwDGHe5jEZSSGtw3ifUiQ,ChannelofChi_UCLfwDGHe5jEZSSGtw3ifUiQ_avPFLbxQZOI,,EY1,10.4402,10.5202,0.08000000000000007,N,M,name,EY,1,1,ChannelofChi_UCLfwDGHe5jEZSSGtw3ifUiQ_avPFLbxQZOI.TextGrid
ChannelofChi_UCLfwDGHe5jEZSSGtw3ifUiQ,ChannelofChi_UCLfwDGHe5jEZSSGtw3ifUiQ_avPFLbxQZOI,,IH0,10.5602,10.6002,0.03999999999999915,M,Z,is,IH,0,0,ChannelofChi_UCLfwDGHe5jEZSSGtw3ifUiQ_avPFLbxQZOI.TextGrid
ChannelofChi_UCLfwDGHe5jEZSSGtw3ifUiQ,ChannelofChi_UCLfwDGHe5jEZSSGtw3ifUiQ_avPFLbxQZOI,,AY1,10.7702,10.9002,0.129999999999999,K,AH0,chi,AY,1,1,ChannelofChi_UCLfwDGHe5jEZSSGtw3ifUiQ_avPFLbxQZOI.TextGrid
ChannelofChi_UCLfwDGHe5jEZSSGtw3ifUiQ,ChannelofChi_UCLfwDGHe5jEZSSGtw3ifUiQ_avPFLbxQZOI,,AH0,10.9002,10.9802,0.08000000000000007,AY1,N,and,AH,0,0,ChannelofChi_UCLfwDGHe5jEZSSGtw3ifUiQ_avPFLbxQZOI.TextGrid
ChannelofChi_UCLfwDGHe5jEZSSGtw3ifUiQ,ChannelofChi_UCLfwDGHe5jEZSSGtw3ifUiQ_avPFLbxQZOI,,EH1,11.0802,11.1202,0.040000000000000924,W,L,welcome,EH,1,0,ChannelofChi_UCLfwDGHe5jEZSSGtw3ifUiQ_avPFLbxQZOI.TextGrid
ChannelofChi_UCLfwDGHe5jEZSSGtw3ifUiQ,ChannelofChi_UCLfwDGHe5jEZSSGtw3ifUiQ_avPFLbxQZOI,,AH0,11.2302,11.2702,0.040000000000000924,K,M,welcome,AH,0,0,ChannelofChi_UCLfwDGHe5jEZSSGtw3ifUiQ_avPFLbxQZOI.TextGrid
ChannelofChi_UCLfwDGHe5jEZSSGtw3ifUiQ,ChannelofChi_UCLfwDGHe5jEZSSGtw3ifUiQ_avPFLbxQZOI,,UW1,11.3802,11.4702,0.08999999999999986,T,CH,to,UW,1,0,ChannelofChi_UCLfwDGHe5jEZSSGtw3ifUiQ_avPFLbxQZOI.TextGrid
ChannelofChi_UCLfwDGHe5jEZSSGtw3ifUiQ,ChannelofChi_UCLfwDGHe5jEZSSGtw3ifUiQ_avPFLbxQZOI,,AE1,11.5902,11.7102,0.120000000000001,CH,N,channel,AE,1,0,ChannelofChi_UCLfwDGHe5jEZSSGtw3ifUiQ_avPFLbxQZOI.TextGrid
ChannelofChi_UCLfwDGHe5jEZSSGtw3ifUiQ,ChannelofChi_UCLfwDGHe5jEZSSGtw3ifUiQ_avPFLbxQZOI,,AH0,11.7802,11.8302,0.049999999999998934,N,L,channel,AH,0,0,ChannelofChi_UCLfwDGHe5jEZSSGtw3ifUiQ_avPFLbxQZOI.TextGrid
ChannelofChi_UCLfwDGHe5jEZSSGtw3ifUiQ,ChannelofChi_UCLfwDGHe5jEZSSGtw3ifUiQ_avPFLbxQZOI,,AH1,11.9802,12.1302,0.15000000000000036,L,V,of,AH,1,0,ChannelofChi_UCLfwDGHe5jEZSSGtw3ifUiQ_avPFLbxQZOI.TextGrid
ChannelofChi_UCLfwDGHe5jEZSSGtw3ifUiQ,ChannelofChi_UCLfwDGHe5jEZSSGtw3ifUiQ_avPFLbxQZOI,,AY1,12.4002,12.6002,0.1999999999999993,K,,chi,AY,1,1,ChannelofChi_UCLfwDGHe5jEZSSGtw3ifUiQ_avPFLbxQZOI.TextGrid
ChannelofChi_UCLfwDGHe5jEZSSGtw3ifUiQ,ChannelofChi_UCLfwDGHe5jEZSSGtw3ifUiQ_avPFLbxQZOI,,IH1,12.6302,12.7302,0.09999999999999964,,F,if,IH,1,0,ChannelofChi_UCLfwDGHe5jEZSSGtw3ifUiQ_avPFLbxQZOI.TextGrid
ChannelofChi_UCLfwDGHe5jEZSSGtw3ifUiQ,ChannelofChi_UCLfwDGHe5jEZSSGtw3ifUiQ_avPFLbxQZOI,,UW1,12.8402,12.8902,0.05000000000000071,Y,G,you,UW,1,0,ChannelofChi_UCLfwDGHe5jEZSSGtw3ifUiQ_avPFLbxQZOI.TextGrid
ChannelofChi_UCLfwDGHe5jEZSSGtw3ifUiQ,ChannelofChi_UCLfwDGHe5jEZSSGtw3ifUiQ_avPFLbxQZOI,,AY1,12.9502,13.1102,0.16000000000000014,G,Z,guys,AY,1,1,ChannelofChi_UCLfwDGHe5jEZSSGtw3ifUiQ_avPFLbxQZOI.TextGrid
