channel,video_id,fn,label,start_time,end_time,duration,pre_phone,post_phone,word,vowel,stress,diph,filename
IsabelChen_UC92p1kGFfaj3wWr5wymfXtA,IsabelChen_UC92p1kGFfaj3wWr5wymfXtA_00CUlfhRTPk,,IH1,0.15,0.22,0.07,DH,S,this,IH,1,0,IsabelChen_UC92p1kGFfaj3wWr5wymfXtA_00CUlfhRTPk.TextGrid
IsabelChen_UC92p1kGFfaj3wWr5wymfXtA,IsabelChen_UC92p1kGFfaj3wWr5wymfXtA_00CUlfhRTPk,,IH0,0.31,0.38,0.07,S,Z,is,IH,0,0,IsabelChen_UC92p1kGFfaj3wWr5wymfXtA_00CUlfhRTPk.TextGrid
IsabelChen_UC92p1kGFfaj3wWr5wymfXtA,IsabelChen_UC92p1kGFfaj3wWr5wymfXtA_00CUlfhRTPk,,UW1,0.71,0.77,0.06000000000000005,Y,CH,future,UW,1,0,IsabelChen_UC92p1kGFfaj3wWr5wymfXtA_00CUlfhRTPk.TextGrid
IsabelChen_UC92p1kGFfaj3wWr5wymfXtA,IsabelChen_UC92p1kGFfaj3wWr5wymfXtA_00CUlfhRTPk,,ER0,0.88,1.12,0.2400000000000001,CH,IH1,future,ER,0,0,IsabelChen_UC92p1kGFfaj3wWr5wymfXtA_00CUlfhRTPk.TextGrid
IsabelChen_UC92p1kGFfaj3wWr5wymfXtA,IsabelChen_UC92p1kGFfaj3wWr5wymfXtA_00CUlfhRTPk,,IH1,1.12,1.18,0.05999999999999983,ER0,Z,isabelle,IH,1,0,IsabelChen_UC92p1kGFfaj3wWr5wymfXtA_00CUlfhRTPk.TextGrid
IsabelChen_UC92p1kGFfaj3wWr5wymfXtA,IsabelChen_UC92p1kGFfaj3wWr5wymfXtA_00CUlfhRTPk,,AH0,1.26,1.3,0.040000000000000036,Z,B,isabelle,AH,0,0,IsabelChen_UC92p1kGFfaj3wWr5wymfXtA_00CUlfhRTPk.TextGrid
IsabelChen_UC92p1kGFfaj3wWr5wymfXtA,IsabelChen_UC92p1kGFfaj3wWr5wymfXtA_00CUlfhRTPk,,EH2,1.37,1.46,0.08999999999999986,B,L,isabelle,EH,2,0,IsabelChen_UC92p1kGFfaj3wWr5wymfXtA_00CUlfhRTPk.TextGrid
IsabelChen_UC92p1kGFfaj3wWr5wymfXtA,IsabelChen_UC92p1kGFfaj3wWr5wymfXtA_00CUlfhRTPk,,IH1,2.9,3.24,0.3400000000000003,spn,Z,is,IH,1,0,IsabelChen_UC92p1kGFfaj3wWr5wymfXtA_00CUlfhRTPk.TextGrid
IsabelChen_UC92p1kGFfaj3wWr5wymfXtA,IsabelChen_UC92p1kGFfaj3wWr5wymfXtA_00CUlfhRTPk,,IH1,3.42,3.65,0.22999999999999998,,T,it,IH,1,0,IsabelChen_UC92p1kGFfaj3wWr5wymfXtA_00CUlfhRTPk.TextGrid
IsabelChen_UC92p1kGFfaj3wWr5wymfXtA,IsabelChen_UC92p1kGFfaj3wWr5wymfXtA_00CUlfhRTPk,,UW1,3.74,4.24,0.5,Y,CH,future,UW,1,0,IsabelChen_UC92p1kGFfaj3wWr5wymfXtA_00CUlfhRTPk.TextGrid
