file,order,vowel,boundaries,creak,issues,flag
lynfinities_UC3kr27h12M8WPS0B4Z4tn6w_pKIUEg3MKfE_0001_4540_4540_EY1.wav,0001,EY1,1,1,5,1
lynfinities_UC3kr27h12M8WPS0B4Z4tn6w_pKIUEg3MKfE_0002_4590_4590_EH1.wav,0002,EH1,1,1,1,0
lynfinities_UC3kr27h12M8WPS0B4Z4tn6w_pKIUEg3MKfE_0003_4700_4700_IY0.wav,0003,IY0,1,1,5,0
lynfinities_UC3kr27h12M8WPS0B4Z4tn6w_pKIUEg3MKfE_0004_4800_4800_AA2.wav,0004,AA2,1,1,1,0
lynfinities_UC3kr27h12M8WPS0B4Z4tn6w_pKIUEg3MKfE_0005_5060_5060_IY0.wav,0005,IY0,1,1,1,0
lynfinities_UC3kr27h12M8WPS0B4Z4tn6w_pKIUEg3MKfE_0006_5180_5180_IH1.wav,0006,IH1,1,1,1,0
lynfinities_UC3kr27h12M8WPS0B4Z4tn6w_pKIUEg3MKfE_0007_5650_5650_IH1.wav,0007,IH1,1,1,5,1
lynfinities_UC3kr27h12M8WPS0B4Z4tn6w_pKIUEg3MKfE_0008_6020_6020_AO1.wav,0008,AO1,1,1,1,0
lynfinities_UC3kr27h12M8WPS0B4Z4tn6w_pKIUEg3MKfE_0009_6260_6260_AH0.wav,0009,AH0,1,1,5,1
lynfinities_UC3kr27h12M8WPS0B4Z4tn6w_pKIUEg3MKfE_0010_6420_6420_EY1.wav,0010,EY1,1,1,1,0
lynfinities_UC3kr27h12M8WPS0B4Z4tn6w_pKIUEg3MKfE_0011_6690_6690_IH1.wav,0011,IH1,1,1,1,0
lynfinities_UC3kr27h12M8WPS0B4Z4tn6w_pKIUEg3MKfE_0012_6920_6920_IY0.wav,0012,IY0,1,1,1,0
lynfinities_UC3kr27h12M8WPS0B4Z4tn6w_pKIUEg3MKfE_0013_7020_7020_OW0.wav,0013,OW0,1,1,1,0
lynfinities_UC3kr27h12M8WPS0B4Z4tn6w_pKIUEg3MKfE_0014_7210_7210_AY1.wav,0014,AY1,1,4,1,0
lynfinities_UC3kr27h12M8WPS0B4Z4tn6w_pKIUEg3MKfE_0015_7420_7420_AO1.wav,0015,AO1,1,1,1,0
lynfinities_UC3kr27h12M8WPS0B4Z4tn6w_pKIUEg3MKfE_0016_7620_7620_IH0.wav,0016,IH0,1,1,5,0
