filename,video_id,start_time,end_time,duration
lynfinities_UC3kr27h12M8WPS0B4Z4tn6w_pKIUEg3MKfE_0_4088.wav,lynfinities_UC3kr27h12M8WPS0B4Z4tn6w_pKIUEg3MKfE,0,4088,4088
lynfinities_UC3kr27h12M8WPS0B4Z4tn6w_pKIUEg3MKfE_4400_10050.wav,lynfinities_UC3kr27h12M8WPS0B4Z4tn6w_pKIUEg3MKfE,4400,10050,5650
lynfinities_UC3kr27h12M8WPS0B4Z4tn6w_pKIUEg3MKfE_10482_17322.wav,lynfinities_UC3kr27h12M8WPS0B4Z4tn6w_pKIUEg3MKfE,10482,17322,6840
lynfinities_UC3kr27h12M8WPS0B4Z4tn6w_pKIUEg3MKfE_17626_17970.wav,lynfinities_UC3kr27h12M8WPS0B4Z4tn6w_pKIUEg3MKfE,17626,17970,344
lynfinities_UC3kr27h12M8WPS0B4Z4tn6w_pKIUEg3MKfE_18330_21930.wav,lynfinities_UC3kr27h12M8WPS0B4Z4tn6w_pKIUEg3MKfE,18330,21930,3600
lynfinities_UC3kr27h12M8WPS0B4Z4tn6w_pKIUEg3MKfE_22404_29380.wav,lynfinities_UC3kr27h12M8WPS0B4Z4tn6w_pKIUEg3MKfE,22404,29380,6976
lynfinities_UC3kr27h12M8WPS0B4Z4tn6w_pKIUEg3MKfE_29604_33748.wav,lynfinities_UC3kr27h12M8WPS0B4Z4tn6w_pKIUEg3MKfE,29604,33748,4144
lynfinities_UC3kr27h12M8WPS0B4Z4tn6w_pKIUEg3MKfE_33908_38668.wav,lynfinities_UC3kr27h12M8WPS0B4Z4tn6w_pKIUEg3MKfE,33908,38668,4760
lynfinities_UC3kr27h12M8WPS0B4Z4tn6w_pKIUEg3MKfE_38836_40469.wav,lynfinities_UC3kr27h12M8WPS0B4Z4tn6w_pKIUEg3MKfE,38836,40469,1633
lynfinities_UC3kr27h12M8WPS0B4Z4tn6w_pKIUEg3MKfE_40797_46301.wav,lynfinities_UC3kr27h12M8WPS0B4Z4tn6w_pKIUEg3MKfE,40797,46301,5504
