filename,video_id,start_time,end_time,duration
ohnonina_UCTV8tRgCLqflRddAFAOSoPw_X7MTbZ0jc_0_1937.wav,ohnonina_UCTV8tRgCLqflRddAFAOSoPw_X7MTbZ0jc,0,1937,1937
ohnonina_UCTV8tRgCLqflRddAFAOSoPw_X7MTbZ0jc_2313_2489.wav,ohnonina_UCTV8tRgCLqflRddAFAOSoPw_X7MTbZ0jc,2313,2489,176
ohnonina_UCTV8tRgCLqflRddAFAOSoPw_X7MTbZ0jc_4121_7961.wav,ohnonina_UCTV8tRgCLqflRddAFAOSoPw_X7MTbZ0jc,4121,7961,3840
ohnonina_UCTV8tRgCLqflRddAFAOSoPw_X7MTbZ0jc_8329_15089.wav,ohnonina_UCTV8tRgCLqflRddAFAOSoPw_X7MTbZ0jc,8329,15089,6760
ohnonina_UCTV8tRgCLqflRddAFAOSoPw_X7MTbZ0jc_15505_21329.wav,ohnonina_UCTV8tRgCLqflRddAFAOSoPw_X7MTbZ0jc,15505,21329,5824
ohnonina_UCTV8tRgCLqflRddAFAOSoPw_X7MTbZ0jc_21705_24249.wav,ohnonina_UCTV8tRgCLqflRddAFAOSoPw_X7MTbZ0jc,21705,24249,2544
ohnonina_UCTV8tRgCLqflRddAFAOSoPw_X7MTbZ0jc_24505_34161.wav,ohnonina_UCTV8tRgCLqflRddAFAOSoPw_X7MTbZ0jc,24505,34161,9656
ohnonina_UCTV8tRgCLqflRddAFAOSoPw_X7MTbZ0jc_34273_38481.wav,ohnonina_UCTV8tRgCLqflRddAFAOSoPw_X7MTbZ0jc,34273,38481,4208
ohnonina_UCTV8tRgCLqflRddAFAOSoPw_X7MTbZ0jc_38793_39489.wav,ohnonina_UCTV8tRgCLqflRddAFAOSoPw_X7MTbZ0jc,38793,39489,696
ohnonina_UCTV8tRgCLqflRddAFAOSoPw_X7MTbZ0jc_39673_40025.wav,ohnonina_UCTV8tRgCLqflRddAFAOSoPw_X7MTbZ0jc,39673,40025,352
ohnonina_UCTV8tRgCLqflRddAFAOSoPw_X7MTbZ0jc_40281_41253.wav,ohnonina_UCTV8tRgCLqflRddAFAOSoPw_X7MTbZ0jc,40281,41253,972
ohnonina_UCTV8tRgCLqflRddAFAOSoPw_X7MTbZ0jc_41461_43525.wav,ohnonina_UCTV8tRgCLqflRddAFAOSoPw_X7MTbZ0jc,41461,43525,2064
ohnonina_UCTV8tRgCLqflRddAFAOSoPw_X7MTbZ0jc_43725_45329.wav,ohnonina_UCTV8tRgCLqflRddAFAOSoPw_X7MTbZ0jc,43725,45329,1604
ohnonina_UCTV8tRgCLqflRddAFAOSoPw_X7MTbZ0jc_45601_47937.wav,ohnonina_UCTV8tRgCLqflRddAFAOSoPw_X7MTbZ0jc,45601,47937,2336
ohnonina_UCTV8tRgCLqflRddAFAOSoPw_X7MTbZ0jc_48201_56677.wav,ohnonina_UCTV8tRgCLqflRddAFAOSoPw_X7MTbZ0jc,48201,56677,8476
ohnonina_UCTV8tRgCLqflRddAFAOSoPw_X7MTbZ0jc_56917_61733.wav,ohnonina_UCTV8tRgCLqflRddAFAOSoPw_X7MTbZ0jc,56917,61733,4816
ohnonina_UCTV8tRgCLqflRddAFAOSoPw_X7MTbZ0jc_61989_69245.wav,ohnonina_UCTV8tRgCLqflRddAFAOSoPw_X7MTbZ0jc,61989,69245,7256
ohnonina_UCTV8tRgCLqflRddAFAOSoPw_X7MTbZ0jc_69493_71945.wav,ohnonina_UCTV8tRgCLqflRddAFAOSoPw_X7MTbZ0jc,69493,71945,2452
ohnonina_UCTV8tRgCLqflRddAFAOSoPw_X7MTbZ0jc_72097_72409.wav,ohnonina_UCTV8tRgCLqflRddAFAOSoPw_X7MTbZ0jc,72097,72409,312
ohnonina_UCTV8tRgCLqflRddAFAOSoPw_X7MTbZ0jc_72865_75065.wav,ohnonina_UCTV8tRgCLqflRddAFAOSoPw_X7MTbZ0jc,72865,75065,2200
ohnonina_UCTV8tRgCLqflRddAFAOSoPw_X7MTbZ0jc_75393_83913.wav,ohnonina_UCTV8tRgCLqflRddAFAOSoPw_X7MTbZ0jc,75393,83913,8520
ohnonina_UCTV8tRgCLqflRddAFAOSoPw_X7MTbZ0jc_84521_91659.wav,ohnonina_UCTV8tRgCLqflRddAFAOSoPw_X7MTbZ0jc,84521,91659,7138
ohnonina_UCTV8tRgCLqflRddAFAOSoPw_X7MTbZ0jc_91931_95509.wav,ohnonina_UCTV8tRgCLqflRddAFAOSoPw_X7MTbZ0jc,91931,95509,3578
ohnonina_UCTV8tRgCLqflRddAFAOSoPw_X7MTbZ0jc_96006_105470.wav,ohnonina_UCTV8tRgCLqflRddAFAOSoPw_X7MTbZ0jc,96006,105470,9464
ohnonina_UCTV8tRgCLqflRddAFAOSoPw_X7MTbZ0jc_105830_107767.wav,ohnonina_UCTV8tRgCLqflRddAFAOSoPw_X7MTbZ0jc,105830,107767,1937
ohnonina_UCTV8tRgCLqflRddAFAOSoPw_X7MTbZ0jc_108079_111305.wav,ohnonina_UCTV8tRgCLqflRddAFAOSoPw_X7MTbZ0jc,108079,111305,3226
ohnonina_UCTV8tRgCLqflRddAFAOSoPw_X7MTbZ0jc_111433_117929.wav,ohnonina_UCTV8tRgCLqflRddAFAOSoPw_X7MTbZ0jc,111433,117929,6496
ohnonina_UCTV8tRgCLqflRddAFAOSoPw_X7MTbZ0jc_118089_125265.wav,ohnonina_UCTV8tRgCLqflRddAFAOSoPw_X7MTbZ0jc,118089,125265,7176
ohnonina_UCTV8tRgCLqflRddAFAOSoPw_X7MTbZ0jc_125409_133265.wav,ohnonina_UCTV8tRgCLqflRddAFAOSoPw_X7MTbZ0jc,125409,133265,7856
ohnonina_UCTV8tRgCLqflRddAFAOSoPw_X7MTbZ0jc_133417_143393.wav,ohnonina_UCTV8tRgCLqflRddAFAOSoPw_X7MTbZ0jc,133417,143393,9976
ohnonina_UCTV8tRgCLqflRddAFAOSoPw_X7MTbZ0jc_143505_144617.wav,ohnonina_UCTV8tRgCLqflRddAFAOSoPw_X7MTbZ0jc,143505,144617,1112
ohnonina_UCTV8tRgCLqflRddAFAOSoPw_X7MTbZ0jc_144793_146089.wav,ohnonina_UCTV8tRgCLqflRddAFAOSoPw_X7MTbZ0jc,144793,146089,1296
