filename,video_id,start_time,end_time,duration,id,transcription,usability,bg_music,bg_noise,other_voice,only_music,only_noise,other_sounds,annotator,annotate_date_YYYYMMDD
DwaLew_UCGSBXMYDx6VZ9A5q7GdZew_8gDPK84kb2E_0_6491.wav,DwaLew_UCGSBXMYDx6VZ9A5q7GdZew_8gDPK84kb2E,0,6491,6491,0,"I would meet people and they would be like yo,_unn I'm like this this and that what are you and I'll be like I'm black",1,0,1,0,0,0,0,DY,2021-09-05 22:44:41.434806
DwaLew_UCGSBXMYDx6VZ9A5q7GdZew_8gDPK84kb2E_7043_8879.wav,DwaLew_UCGSBXMYDx6VZ9A5q7GdZew_8gDPK84kb2E,7043,8879,1836,1,and they would be like yeah I know but like,1,0,0,0,0,0,0,DY,2021-09-05 22:44:56.684855
DwaLew_UCGSBXMYDx6VZ9A5q7GdZew_8gDPK84kb2E_9103_15299.wav,DwaLew_UCGSBXMYDx6VZ9A5q7GdZew_8gDPK84kb2E,9103,15299,6196,2,"like like what are you and I would be like <lgh> I'm black like it- and they'll be like No,_unn",1,0,1,0,0,0,0,DY,2021-09-05 22:45:17.153252
DwaLew_UCGSBXMYDx6VZ9A5q7GdZew_8gDPK84kb2E_15827_21691.wav,DwaLew_UCGSBXMYDx6VZ9A5q7GdZew_8gDPK84kb2E,15827,21691,5864,3,what_unn are_unn you_unn <lgh> and that's when I really started to question like,1,0,0,1,0,0,0,DY,2021-09-05 22:46:50.208814
DwaLew_UCGSBXMYDx6VZ9A5q7GdZew_8gDPK84kb2E_22611_27932.wav,DwaLew_UCGSBXMYDx6VZ9A5q7GdZew_8gDPK84kb2E,22611,27932,5321,4,who am I <lgh> Where am I from because I was se- <sfx>,1,0,0,0,0,0,1,DY,2021-09-05 22:47:36.516124
DwaLew_UCGSBXMYDx6VZ9A5q7GdZew_8gDPK84kb2E_28324_33428.wav,DwaLew_UCGSBXMYDx6VZ9A5q7GdZew_8gDPK84kb2E,28324,33428,5104,5,What's up you guys it's your girl Dwa and I'm back with another one,1,0,0,0,0,0,0,DY,2021-09-05 22:47:57.841834
DwaLew_UCGSBXMYDx6VZ9A5q7GdZew_8gDPK84kb2E_33588_33948.wav,DwaLew_UCGSBXMYDx6VZ9A5q7GdZew_8gDPK84kb2E,33588,33948,360,6,,0,0,0,0,0,1,0,DY,2021-09-05 22:48:04.079987
DwaLew_UCGSBXMYDx6VZ9A5q7GdZew_8gDPK84kb2E_34092_34917.wav,DwaLew_UCGSBXMYDx6VZ9A5q7GdZew_8gDPK84kb2E,34092,34917,825,7,um,1,0,0,0,0,0,0,DY,2021-09-05 22:48:15.641377
DwaLew_UCGSBXMYDx6VZ9A5q7GdZew_8gDPK84kb2E_35085_40861.wav,DwaLew_UCGSBXMYDx6VZ9A5q7GdZew_8gDPK84kb2E,35085,40861,5776,8,today's video is gonna be a little bit different from y'know what I usually put up on my channel,1,0,0,0,0,0,0,DY,2021-09-05 22:48:31.308081
DwaLew_UCGSBXMYDx6VZ9A5q7GdZew_8gDPK84kb2E_41013_46983.wav,DwaLew_UCGSBXMYDx6VZ9A5q7GdZew_8gDPK84kb2E,41013,46983,5970,9,and I guess it's a little bit more serious today vi- today's video is going to be on um,1,0,0,0,0,0,0,DY,2021-09-05 22:48:48.525922
