filename,video_id,start_time,end_time,duration,id,transcription,usability,bg_music,bg_noise,other_voice,only_music,only_noise,other_sounds,annotator,annotate_date_YYYYMMDD
JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw_0_256.wav,JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw,0,256,256,0,,0,0,0,0,0,1,0,DY,2021-09-10 14:47:31.159009
JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw_256_5308.wav,JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw,256,5308,5052,1,it's like could you imagine what life would be like without black people could you imagine,1,0,0,0,0,0,0,DY,2021-09-10 14:47:52.162736
JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw_5524_8808.wav,JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw,5524,8808,3284,2,what life would be like without black women,1,0,1,0,0,0,0,DY,2021-09-13 15:52:48.963434
JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw_9088_19200.wav,JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw,9088,19200,10112,3,hey guys what's up and welcome back to my channel,1,0,1,0,1,0,0,DY,2021-09-13 15:53:09.304457
JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw_19368_20176.wav,JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw,19368,20176,808,4,whoo,1,0,0,0,0,0,0,DY,2021-09-13 15:53:16.674231
JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw_20584_30104.wav,JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw,20584,30104,9520,5,I feel like I'm so far away from the camera but it's like I don't want it- I don't wanna zoom in 'cause I don't- I don't want the close up like I don't need ,1,0,1,0,0,0,0,DY,2021-09-13 15:53:56.524698
JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw_30464_35128.wav,JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw,30464,35128,4664,6,the close up so what's up and welcome back to my channel,1,0,1,0,0,0,0,DY,2021-09-13 15:54:05.843253
JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw_36680_40136.wav,JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw,36680,40136,3456,7,just know when I film videos like this it is,1,0,0,0,0,0,0,DY,2021-09-13 15:54:28.178710
JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw_40520_45104.wav,JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw,40520,45104,4584,8,because I have ran out of video ideas okay well_unn okay_unn technically_unn I_unn have_unn not_unn,1,1,0,1,0,0,0,DY,2021-09-13 15:54:49.836785
JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw_45368_45640.wav,JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw,45368,45640,272,9,I-,0,1,0,1,0,0,0,DY,2021-09-13 15:54:57.773019
JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw_45640_55544.wav,JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw,45640,55544,9904,10,I_unn haven't_unn ran_unn out_unn of_unn video_unn ideas_unn it's_unn just_unn the_unn other_unn videos_unn that_unn I_unn wanna_unn film_unn like_unn I_unn just_unn have_unn a_unn list_unn of_unn videos_unn that_unn I_unn wanna_unn film_unn it_unn just_unn I_unn can't_unn film_unn them_unn quite_unn yet_unn because_unn there's_unn like- it's_unn like_unn missing_unn,0,1,0,1,0,0,0,DY,2021-09-13 15:55:15.466367
JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw_55848_59768.wav,JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw,55848,59768,3920,11,like_unn pieces_unn of_unn a_unn puzzle_unn y'know_unn what_unn I_unn mean_unn does_unn it_unn make_unn any_unn,0,1,0,1,0,0,0,DY,2021-09-13 15:55:23.666799
JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw_60480_61040.wav,JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw,60480,61040,560,12,I_unn just-,0,1,0,1,0,0,0,DY,2021-09-13 15:55:58.177869
JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw_61296_71752.wav,JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw,61296,71752,10456,13,I_unn just_unn  didn't_unn have_unn the_unn time_unn this_unn weekend_unn also_unn technically_unn this_unn is_unn my_unn  birthday_unn weekend_unn kind_unn of_unn well_unn my_unn birthday's_unn  actually_unn on_unn monday_unn but_unn y'know_unn so we are gonna be doing the black girl tag,1,1,0,1,0,0,0,DY,2021-09-13 15:57:52.216225
JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw_72056_78928.wav,JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw,72056,78928,6872,14,do people even still do tags here on YouTube I don't think so but it's cool y'know we're still gonna have fun we're still going to do it,1,0,0,0,0,0,0,DY,2021-09-13 15:58:04.496478
JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw_79080_86040.wav,JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw,79080,86040,6960,15,but before we even get into that if you have not already make sure you subscribe don't forget to give this video a thumbs up now,1,0,0,0,0,0,0,DY,2021-09-13 15:58:26.659090
JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw_86320_89892.wav,JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw,86320,89892,3572,16,let's hop_unc into_unc it_unc I don't-,1,0,1,0,0,0,0,DY,2021-09-13 15:59:02.195851
JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw_90188_97236.wav,JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw,90188,97236,7048,17,I don't know why I did that it's not like it's gonna have a cool transition or anything so- question number one have you heard you sound like a white girl,1,0,1,0,0,0,0,DY,2021-09-13 15:59:16.847994
JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw_97740_104878.wav,JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw,97740,104878,7138,18,no I don't think anyone has ever told me that I sound like a white girl because I don't know I feel like I have a pretty deep voice,1,0,0,0,0,0,0,DY,2021-09-13 15:59:29.329584
JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw_104982_113982.wav,JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw,104982,113982,9000,19,and if someone was on the phone with me I feel like they'll be able to tell that I am black however when I was in middle school some of the friends that I used to hang out with used to call me Oreo,1,0,0,0,0,0,0,DY,2021-09-13 16:00:06.674816
JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw_114752_114889.wav,JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw,114752,114889,137,20,,0,0,0,0,0,1,0,DY,2021-09-13 16:00:11.537948
JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw_114889_118745.wav,JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw,114889,118745,3856,21,for some strange reason and it definitely was not because I used to act white,1,0,0,0,0,0,0,DY,2021-09-13 16:00:30.652774
JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw_118873_120513.wav,JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw,118873,120513,1640,22,I just think it was because,1,0,0,0,0,0,0,DY,2021-09-13 16:00:37.219101
JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw_120617_124153.wav,JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw,120617,124153,3536,23,they was real dirty and they want to participate in ratchet,1,0,0,0,0,0,0,DY,2021-09-13 16:00:45.388138
JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw_124265_137490.wav,JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw,124265,137490,13225,24,ghetto stuff and I was not about that life so I think that's why they called me Oreo but not necessarily because I acted do I just because I didn't want to do that <unk> stuff that they was doin' but now that I'm grown I'm all for it so y'know <lgh> question number two,1,0,0,0,0,0,0,DY,2021-09-13 16:01:29.791977
JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw_137746_143171.wav,JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw,137746,143171,5425,25,are you natural relaxed or <unk> hmm I don't really know what <unk>,1,0,0,0,0,0,0,DY,2021-09-13 16:01:41.232230
JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw_143331_145011.wav,JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw,143331,145011,1680,26,mean but I am,1,0,0,0,0,0,0,DY,2021-09-13 16:01:47.909548
JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw_145171_147724.wav,JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw,145171,147724,2553,27,natural,1,0,0,0,0,0,1,DY,2021-09-13 16:01:59.624161
JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw_148020_148277.wav,JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw,148020,148277,257,28,,0,0,0,0,0,1,0,DY,2021-09-13 16:02:04.905833
JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw_148277_149493.wav,JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw,148277,149493,1216,29,when did you big chop,1,0,0,0,0,0,0,DY,2021-09-13 16:02:16.483430
JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw_149797_155725.wav,JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw,149797,155725,5928,30,so I've actually never got the big chop um I just started transitionin' I wanna say in fall like twenty thirteen,1,0,0,0,0,0,0,DY,2021-09-13 16:03:00.212590
JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw_155925_159006.wav,JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw,155925,159006,3081,31,um I just started transitionin' so yeah and then over time,1,0,0,0,0,0,0,DY,2021-09-13 16:03:23.242852
JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw_159214_165246.wav,JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw,159214,165246,6032,32,I kinda went through and just like cut pieces off but I've never officially like went to the um place and like got my hair,1,0,0,0,0,0,0,DY,2021-09-13 16:04:00.950887
JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw_166272_175312.wav,JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw,166272,175312,9040,33,cut off but I- I honestly need to because it is not doing so well what is the one thing that you like about your hair,1,0,0,0,0,0,0,DY,2021-09-13 16:04:45.883961
JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw_177176_177456.wav,JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw,177176,177456,280,34,,0,0,0,0,0,1,0,DY,2021-09-13 16:04:49.496592
JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw_177456_185576.wav,JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw,177456,185576,8120,35,<lgh> okay I'm just kidding no I really do like my hair um I feel like I'm learning how to love it and appreciate it,1,0,0,0,0,0,0,DY,2021-09-13 16:05:29.293720
JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw_185744_190576.wav,JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw,185744,190576,4832,36,just because for the longest time like I used to always wear weave in my head I mean like,1,0,0,0,0,0,0,DY,2021-09-13 16:05:39.333460
JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw_191248_197216.wav,JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw,191248,197216,5968,37,I started wearing weave at a very young age like a very very young age um so I think,1,0,0,0,0,0,0,DY,2021-09-13 16:05:53.537035
JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw_197544_200588.wav,JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw,197544,200588,3044,38,now that I'm older like I'm starting to appreciate it,1,0,0,0,0,0,0,DY,2021-09-13 16:06:01.844008
JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw_200748_215616.wav,JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw,200748,215616,14868,39,more and I'm startin' to wear it out more like this right here even though technically I have on a ponytail this right here is big for me because I never used to do this like when I was in high school in college like I never would've worn my hair like this so I think I'm learning how to appreciate it,1,0,0,0,0,0,0,DY,2021-09-13 16:07:04.642119
JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw_215864_224240.wav,JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw,215864,224240,8376,40,more and then honestly I feel like with my hair I feel like if I truly took care of it like the way I'm supposed to it will be just,1,0,0,0,0,0,0,DY,2021-09-13 16:07:33.748597
JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw_224392_226250.wav,JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw,224392,226250,1858,41,fine but because I don't,1,0,0,0,0,0,0,DY,2021-09-13 16:07:41.773171
JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw_226378_235084.wav,JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw,226378,235084,8706,42,what happens is I start to take care of it and then I get really lazy and I go back to wigs and stuff like that and I kinda like mess up all over again it's like this phase like I keep doing it,1,0,0,0,0,0,0,DY,2021-09-13 16:07:56.073831
JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw_235424_246320.wav,JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw,235424,246320,10896,43,but I know for a fact that if I actually take care of it and like put the right products in it and like do things that I'm supposed to do that my hair will be just fine but I just have a problem with consistency,1,0,0,0,0,0,0,DY,2021-09-13 16:08:12.101212
JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw_246824_254824.wav,JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw,246824,254824,8000,44,what don't you like about your hair every fucking thing I know I do- I like my hair but what I don't like about it is um,1,0,0,0,0,0,0,DY,2021-09-13 16:08:39.423439
JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw_255264_255496.wav,JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw,255264,255496,232,45,,0,0,0,0,0,1,0,DY,2021-09-13 16:08:43.523468
JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw_255752_255888.wav,JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw,255752,255888,136,46,,0,0,0,0,0,1,0,DY,2021-09-13 16:08:46.638980
JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw_256224_261700.wav,JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw,256224,261700,5476,47,it's just difficult to work with like sometimes I get frustrated when I see videos on like natural hair especially for,1,0,0,0,0,0,0,DY,2021-09-13 16:09:06.636097
JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw_261860_275168.wav,JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw,261860,275168,13308,48,women with my texture hair and they be like you can't do this you can't do that you can't do this you can't- I'm like then what's the point of having hair like what is the point of having hair if you can't touch it what black celebrity do people say you look like okay,1,0,0,0,0,0,0,DY,2021-09-13 16:09:59.835155
JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw_275616_275912.wav,JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw,275616,275912,296,49,,0,0,0,0,0,1,0,DY,2021-09-13 16:10:04.515274
JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw_276264_276488.wav,JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw,276264,276488,224,50,,0,0,0,0,0,1,0,DY,2021-09-13 16:10:06.749393
JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw_276832_277544.wav,JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw,276832,277544,712,51,,0,0,0,0,0,1,0,DY,2021-09-13 16:10:09.502319
JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw_278392_279514.wav,JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw,278392,279514,1122,52,I have been told,1,0,0,0,0,0,0,DY,2021-09-13 16:10:16.967355
JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw_279834_286346.wav,JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw,279834,286346,6512,53,numerous times and I know y'all gonna be like what the fuck 'cause I do not see it and trust me I do not see it either,1,0,0,0,0,0,0,DY,2021-09-13 16:10:38.922404
JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw_286618_291147.wav,JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw,286618,291147,4529,54,but I have been told numerous times I would say about like three or four times in my life,1,0,0,0,0,0,0,DY,2021-09-13 16:10:48.657266
JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw_291419_297971.wav,JayelynJanine_UC860cozg2pvSAbJsWsg4sQ_cdar6iWzqNw,291419,297971,6552,55,that I look like Teyana Taylor which is so weird because first of all I think Teyana Taylor is beautiful like she's gorgeous,1,0,0,0,0,0,0,DY,2021-09-13 16:11:01.173828
