filename,video_id,start_time,end_time,duration,id,transcription,usability,bg_music,bg_noise,other_voice,only_music,only_noise,other_sounds,annotator,annotate_date_YYYYMMDD
MisfitMari_UCDvp8hcKkmnWseIkTe6y0MA_I4ItHJ7kIY_256_1088.wav,MisfitMari_UCDvp8hcKkmnWseIkTe6y0MA_I4ItHJ7kIY,256,1088,832,0,hey y'all,1,0,0,0,0,0,0,DY,2021-10-06 16:02:47.539407
MisfitMari_UCDvp8hcKkmnWseIkTe6y0MA_I4ItHJ7kIY_1296_8944.wav,MisfitMari_UCDvp8hcKkmnWseIkTe6y0MA_I4ItHJ7kIY,1296,8944,7648,1,welcome back to my channel so today i wanted to do a get to know me tag because,1,0,0,0,0,1,0,DY,2021-10-06 16:03:05.756992
MisfitMari_UCDvp8hcKkmnWseIkTe6y0MA_I4ItHJ7kIY_9072_11696.wav,MisfitMari_UCDvp8hcKkmnWseIkTe6y0MA_I4ItHJ7kIY,9072,11696,2624,2,we made it to ten thousand subscribers,1,0,0,0,0,0,0,DY,2021-10-06 16:03:17.117807
MisfitMari_UCDvp8hcKkmnWseIkTe6y0MA_I4ItHJ7kIY_11880_20162.wav,MisfitMari_UCDvp8hcKkmnWseIkTe6y0MA_I4ItHJ7kIY,11880,20162,8282,3,if you haven't subscribed yet click subscribe button to join the family i've been doing youtube for about like three years maybe a little bit more than that,1,0,0,0,0,0,0,DY,2021-10-06 16:03:35.209230
MisfitMari_UCDvp8hcKkmnWseIkTe6y0MA_I4ItHJ7kIY_20298_27819.wav,MisfitMari_UCDvp8hcKkmnWseIkTe6y0MA_I4ItHJ7kIY,20298,27819,7521,4,so i really love that our f- little family is growing and i'm like i'm just so excited because like even though this is a smaller channel,1,0,0,0,0,0,0,DY,2021-10-06 16:03:48.362803
MisfitMari_UCDvp8hcKkmnWseIkTe6y0MA_I4ItHJ7kIY_27963_28179.wav,MisfitMari_UCDvp8hcKkmnWseIkTe6y0MA_I4ItHJ7kIY,27963,28179,216,5,,0,0,0,0,0,1,0,DY,2021-10-06 16:04:05.701835
MisfitMari_UCDvp8hcKkmnWseIkTe6y0MA_I4ItHJ7kIY_28275_32139.wav,MisfitMari_UCDvp8hcKkmnWseIkTe6y0MA_I4ItHJ7kIY,28275,32139,3864,6,we are really growing like we're getting our rings we're going to college,1,0,0,0,0,0,0,DY,2021-10-07 15:47:28.661313
MisfitMari_UCDvp8hcKkmnWseIkTe6y0MA_I4ItHJ7kIY_32227_35643.wav,MisfitMari_UCDvp8hcKkmnWseIkTe6y0MA_I4ItHJ7kIY,32227,35643,3416,7,we're getting married all this sort of s- stuff so i'm just excited,1,0,0,0,0,0,0,DY,2021-10-07 15:47:44.860586
MisfitMari_UCDvp8hcKkmnWseIkTe6y0MA_I4ItHJ7kIY_35739_45363.wav,MisfitMari_UCDvp8hcKkmnWseIkTe6y0MA_I4ItHJ7kIY,35739,45363,9624,8,and because of this i want you guys to get to know a little bit more about me and for me to get to know a little bit more about y'all i'll just link the questions that i'm answering in this video in the description box down below so,1,0,0,0,0,0,0,DY,2021-10-07 15:48:01.026825
MisfitMari_UCDvp8hcKkmnWseIkTe6y0MA_I4ItHJ7kIY_45651_47435.wav,MisfitMari_UCDvp8hcKkmnWseIkTe6y0MA_I4ItHJ7kIY,45651,47435,1784,9,you guys should answer the questions along with me,1,0,0,0,0,0,0,DY,2021-10-07 15:48:08.090795
