filename,video_id,start_time,end_time,duration,id,transcription,usability,bg_music,bg_noise,other_voice,only_music,only_noise,other_sounds,annotator,annotate_date_YYYYMMDD
tanhoney_UCODHhz23ZKnSDdmu55rObug_8baP8hJlTCs_0_184.wav,tanhoney_UCODHhz23ZKnSDdmu55rObug_8baP8hJlTCs,0,184,184,0,,0,0,0,0,0,1,0,RP,2021-05-28 15:56:09.263905
tanhoney_UCODHhz23ZKnSDdmu55rObug_8baP8hJlTCs_184_1700.wav,tanhoney_UCODHhz23ZKnSDdmu55rObug_8baP8hJlTCs,184,1700,1516,1,,0,0,0,0,1,0,0,RP,2021-05-28 15:56:15.877724
tanhoney_UCODHhz23ZKnSDdmu55rObug_8baP8hJlTCs_2156_2300.wav,tanhoney_UCODHhz23ZKnSDdmu55rObug_8baP8hJlTCs,2156,2300,144,2,,0,0,0,0,0,1,0,RP,2021-05-28 15:56:23.993753
tanhoney_UCODHhz23ZKnSDdmu55rObug_8baP8hJlTCs_2556_2668.wav,tanhoney_UCODHhz23ZKnSDdmu55rObug_8baP8hJlTCs,2556,2668,112,3,,0,0,0,0,0,1,0,RP,2021-05-28 15:56:30.253962
tanhoney_UCODHhz23ZKnSDdmu55rObug_8baP8hJlTCs_3308_8116.wav,tanhoney_UCODHhz23ZKnSDdmu55rObug_8baP8hJlTCs,3308,8116,4808,4,what's up everyone welcome back to my channel today's video has one purpose,0,1,0,0,0,0,0,RP,2021-05-28 15:56:54.023643
tanhoney_UCODHhz23ZKnSDdmu55rObug_8baP8hJlTCs_8284_9196.wav,tanhoney_UCODHhz23ZKnSDdmu55rObug_8baP8hJlTCs,8284,9196,912,5,and one purpose,0,1,0,0,0,0,0,RP,2021-05-28 15:57:02.453396
tanhoney_UCODHhz23ZKnSDdmu55rObug_8baP8hJlTCs_9660_10708.wav,tanhoney_UCODHhz23ZKnSDdmu55rObug_8baP8hJlTCs,9660,10708,1048,6,and that is,0,1,0,0,0,0,0,RP,2021-05-28 15:57:15.763710
tanhoney_UCODHhz23ZKnSDdmu55rObug_8baP8hJlTCs_10892_11892.wav,tanhoney_UCODHhz23ZKnSDdmu55rObug_8baP8hJlTCs,10892,11892,1000,7,convince you,0,1,0,0,0,0,0,RP,2021-05-28 15:57:26.996493
tanhoney_UCODHhz23ZKnSDdmu55rObug_8baP8hJlTCs_12708_13336.wav,tanhoney_UCODHhz23ZKnSDdmu55rObug_8baP8hJlTCs,12708,13336,628,8,yes you,1,1,0,0,0,0,0,RP,2021-05-28 15:57:42.580827
tanhoney_UCODHhz23ZKnSDdmu55rObug_8baP8hJlTCs_13504_16272.wav,tanhoney_UCODHhz23ZKnSDdmu55rObug_8baP8hJlTCs,13504,16272,2768,9,to go to community college this fall,1,0,0,0,0,0,0,RP,2021-05-28 15:57:56.034199
tanhoney_UCODHhz23ZKnSDdmu55rObug_8baP8hJlTCs_16376_28200.wav,tanhoney_UCODHhz23ZKnSDdmu55rObug_8baP8hJlTCs,16376,28200,11824,10,especially if you are watching this in the year twenty twenty_unc there's_unc a lot of stigma behind community college but i feel like a lot of that is over inflated you know by the media by high schools,1,0,1,0,0,0,0,RP,2021-05-28 15:58:56.541713
tanhoney_UCODHhz23ZKnSDdmu55rObug_8baP8hJlTCs_28320_33504.wav,tanhoney_UCODHhz23ZKnSDdmu55rObug_8baP8hJlTCs,28320,33504,5184,11,for some reason a lot of high schools don't push community college they just want you to go straight to university,1,0,0,0,0,0,0,RP,2021-05-28 15:59:08.908651
tanhoney_UCODHhz23ZKnSDdmu55rObug_8baP8hJlTCs_33624_34696.wav,tanhoney_UCODHhz23ZKnSDdmu55rObug_8baP8hJlTCs,33624,34696,1072,12,and you know,1,0,0,0,0,0,0,RP,2021-05-28 15:59:15.497280
tanhoney_UCODHhz23ZKnSDdmu55rObug_8baP8hJlTCs_34800_40521.wav,tanhoney_UCODHhz23ZKnSDdmu55rObug_8baP8hJlTCs,34800,40521,5721,13,a lot of this stuff also depends on who you are as a person if you see perspiration on my upper lip,1,0,0,0,0,0,0,RP,2021-05-28 15:59:33.555378
tanhoney_UCODHhz23ZKnSDdmu55rObug_8baP8hJlTCs_41457_45249.wav,tanhoney_UCODHhz23ZKnSDdmu55rObug_8baP8hJlTCs,41457,45249,3792,14,please just ignore it it is hot in here because i had to turn off the AC,1,0,0,0,0,0,0,RP,2021-05-28 15:59:46.218231
tanhoney_UCODHhz23ZKnSDdmu55rObug_8baP8hJlTCs_45545_49409.wav,tanhoney_UCODHhz23ZKnSDdmu55rObug_8baP8hJlTCs,45545,49409,3864,15,so it wouldn't be noisy in this video so i'm doing this for you okay let's just move on,1,0,0,0,0,0,0,RP,2021-05-28 15:59:57.709454
tanhoney_UCODHhz23ZKnSDdmu55rObug_8baP8hJlTCs_49569_55714.wav,tanhoney_UCODHhz23ZKnSDdmu55rObug_8baP8hJlTCs,49569,55714,6145,16,the_unc number one reason i would push and encourage someone to start off at a community college,1,0,1,0,0,0,0,RP,2021-05-28 16:00:30.246633
tanhoney_UCODHhz23ZKnSDdmu55rObug_8baP8hJlTCs_56010_61939.wav,tanhoney_UCODHhz23ZKnSDdmu55rObug_8baP8hJlTCs,56010,61939,5929,17,is if you're not sure what you want to major in from the time that you graduate high school as,1,0,0,0,0,0,0,RP,2021-05-28 16:01:01.524674
