filename,video_id,start_time,end_time,duration,id,transcription,usability,bg_music,bg_noise,other_voice,only_music,only_noise,other_sounds,annotator,annotate_date_YYYYMMDD
CameronCao_UCR3iEpRZDhavOacxel3hbA_eMgynE62qmw_0_8472.wav,CameronCao_UCR3iEpRZDhavOacxel3hbA_eMgynE62qmw,0,8472,8472,0,hi children my name is cameron cao welcome back to my channel if you're new here consider subscribing watch my other videos and we can have a fun time together well,1,0,0,0,0,0,0,DY,2021-09-23 19:39:59.905099
CameronCao_UCR3iEpRZDhavOacxel3hbA_eMgynE62qmw_8616_12632.wav,CameronCao_UCR3iEpRZDhavOacxel3hbA_eMgynE62qmw,8616,12632,4016,1,except for now this is kind of serious or this is very serious um,1,0,0,0,0,0,0,DY,2021-09-23 19:40:10.080753
CameronCao_UCR3iEpRZDhavOacxel3hbA_eMgynE62qmw_12880_13248.wav,CameronCao_UCR3iEpRZDhavOacxel3hbA_eMgynE62qmw,12880,13248,368,2,,0,0,0,0,0,1,0,DY,2021-09-23 19:40:14.997884
CameronCao_UCR3iEpRZDhavOacxel3hbA_eMgynE62qmw_13536_16676.wav,CameronCao_UCR3iEpRZDhavOacxel3hbA_eMgynE62qmw,13536,16676,3140,3,to me this topic is extremely hard to talk about,1,0,0,0,0,0,0,DY,2021-09-23 19:40:26.754519
CameronCao_UCR3iEpRZDhavOacxel3hbA_eMgynE62qmw_16932_19968.wav,CameronCao_UCR3iEpRZDhavOacxel3hbA_eMgynE62qmw,16932,19968,3036,4,'cause with the current political climate and,1,0,0,0,0,0,0,DY,2021-09-23 19:40:45.423078
CameronCao_UCR3iEpRZDhavOacxel3hbA_eMgynE62qmw_20592_24304.wav,CameronCao_UCR3iEpRZDhavOacxel3hbA_eMgynE62qmw,20592,24304,3712,5,everything that's going on right now i personally feel very,1,0,0,0,0,0,0,DY,2021-09-23 19:40:56.848577
CameronCao_UCR3iEpRZDhavOacxel3hbA_eMgynE62qmw_24920_27760.wav,CameronCao_UCR3iEpRZDhavOacxel3hbA_eMgynE62qmw,24920,27760,2840,6,heartbroken to see all,1,0,0,0,0,0,0,DY,2021-09-23 19:41:05.085806
CameronCao_UCR3iEpRZDhavOacxel3hbA_eMgynE62qmw_28600_30376.wav,CameronCao_UCR3iEpRZDhavOacxel3hbA_eMgynE62qmw,28600,30376,1776,7,the hate and stigma against,1,0,0,0,0,0,0,DY,2021-09-23 19:41:12.915930
CameronCao_UCR3iEpRZDhavOacxel3hbA_eMgynE62qmw_31024_37264.wav,CameronCao_UCR3iEpRZDhavOacxel3hbA_eMgynE62qmw,31024,37264,6240,8,you know just asians in general and it's just really heartbreaking to see that and i thought because even if i have just-,1,0,1,0,0,0,0,DY,2021-09-23 19:41:25.175813
CameronCao_UCR3iEpRZDhavOacxel3hbA_eMgynE62qmw_37920_45840.wav,CameronCao_UCR3iEpRZDhavOacxel3hbA_eMgynE62qmw,37920,45840,7920,9,i-  like my channel is like extremely tiny like not even a hundred subscribers but if i just can at least get out a small like word or,1,0,0,0,0,0,0,DY,2021-09-23 19:41:38.954659
CameronCao_UCR3iEpRZDhavOacxel3hbA_eMgynE62qmw_46696_52180.wav,CameronCao_UCR3iEpRZDhavOacxel3hbA_eMgynE62qmw,46696,52180,5484,10,something that can spread the message and hope we can come to a mutual understanding and,1,0,0,0,0,0,0,DY,2021-09-23 19:41:51.212466
CameronCao_UCR3iEpRZDhavOacxel3hbA_eMgynE62qmw_52332_55128.wav,CameronCao_UCR3iEpRZDhavOacxel3hbA_eMgynE62qmw,52332,55128,2796,11,work to become better in the future i hope i can do that,1,0,0,0,0,0,0,DY,2021-09-23 19:41:59.462523
CameronCao_UCR3iEpRZDhavOacxel3hbA_eMgynE62qmw_55672_57192.wav,CameronCao_UCR3iEpRZDhavOacxel3hbA_eMgynE62qmw,55672,57192,1520,12,i just think that,1,0,0,0,0,0,0,DY,2021-09-23 19:42:05.941062
CameronCao_UCR3iEpRZDhavOacxel3hbA_eMgynE62qmw_57640_65952.wav,CameronCao_UCR3iEpRZDhavOacxel3hbA_eMgynE62qmw,57640,65952,8312,13,with all the things like last year with black lives matter and then now everything that's going on with in the asian community i think it's really important that,1,0,0,0,0,0,0,DY,2021-09-23 19:44:50.479660
